word_norm,word_original,num_entries,num_definitions
entertain,Entertain,9,9
entrance,Entrance,9,9
error,Error,9,9
exhaust,Exhaust,9,9
faint,Faint,9,9
faith,Faith,9,9
falsify,Falsify,9,9
fang,Fang,9,9
fellow,Fellow,9,9
fight,Fight,9,9
finish,Finish,9,9
flank,Flank,9,9
flute,Flute,9,9
follow,Follow,9,9
fond,Fond,9,9
frontal,Frontal,9,9
galley,Galley,9,9
garnish,Garnish,9,9
gig,Gig,9,9
girdle,Girdle,9,9
glare,Glare,9,9
glow,Glow,9,9
grate,Grate,9,9
graze,Graze,9,9
gross,Gross,9,9
hag,Hag,9,9
halt,Halt,9,9
haul,Haul,9,9
hem,Hem,9,9
hide,Hide,9,9
hiss,Hiss,9,9
hope,Hope,9,9
hurl,Hurl,9,9
imperial,Imperial,9,9
impression,Impression,9,9
incorporate,Incorporate,9,9
increase,Increase,9,9
infinite,Infinite,9,9
intend,Intend,9,9
interest,Interest,9,9
jumper,Jumper,9,9
keel,Keel,9,9
kern,Kern,9,9
kid,Kid,9,9
kind,Kind,9,9
kite,Kite,9,9
knit,Knit,9,9
lace,Lace,9,9
lady,Lady,9,9
language,Language,9,9
lantern,Lantern,9,9
ligature,Ligature,9,9
lime,Lime,9,9
lip,Lip,9,9
little,Little,9,9
log,Log,9,9
lurch,Lurch,9,9
maiden,Maiden,9,9
mall,Mall,9,9
mat,Mat,9,9
model,Model,9,9
mother,Mother,9,9
mouse,Mouse,9,9
muffle,Muffle,9,9
mull,Mull,9,9
nail,Nail,9,9
name,Name,9,9
neck,Neck,9,9
new,New,9,9
object,Object,9,9
office,Office,9,9
olive,Olive,9,9
